Entity,Code,Year,Period life expectancy at birth
Afghanistan,AFG,2023,66.0346
Africa,,2023,63.8428
Albania,ALB,2023,79.6019
Algeria,DZA,2023,76.261
American Samoa,ASM,2023,72.8518
Americas,,2023,77.2922
Andorra,AND,2023,84.0406
Angola,AGO,2023,64.617
Anguilla,AIA,2023,79.3115
Antigua and Barbuda,ATG,2023,77.5976
Argentina,ARG,2023,77.3947
Armenia,ARM,2023,75.6827
Aruba,ABW,2023,76.353
Asia,,2023,74.5661
Australia,AUS,2023,83.9228
Austria,AUT,2023,81.9559
Azerbaijan,AZE,2023,74.4286
Bahamas,BHS,2023,74.5518
Bahrain,BHR,2023,81.2835
Bangladesh,BGD,2023,74.6723
Barbados,BRB,2023,76.1782
Belarus,BLR,2023,74.4339
Belgium,BEL,2023,82.115
Belize,BLZ,2023,73.5656
Benin,BEN,2023,60.7738
Bermuda,BMU,2023,82.3089
Bhutan,BTN,2023,72.9753
Bolivia,BOL,2023,68.5814
Bonaire Sint Eustatius and Saba,BES,2023,77.4355
Bosnia and Herzegovina,BIH,2023,77.8504
Botswana,BWA,2023,69.1631
Brazil,BRA,2023,75.8482
British Virgin Islands,VGB,2023,77.2758
Brunei,BRN,2023,75.3266
Bulgaria,BGR,2023,75.6363
Burkina Faso,BFA,2023,61.092
Burundi,BDI,2023,63.6511
Cambodia,KHM,2023,70.6675
Cameroon,CMR,2023,63.6996
Canada,CAN,2023,82.6302
Cape Verde,CPV,2023,76.0587
Cayman Islands,CYM,2023,80.3576
Central African Republic,CAF,2023,57.4077
Chad,TCD,2023,55.0692
Chile,CHL,2023,81.1667
China,CHN,2023,77.9529
Colombia,COL,2023,77.7246
Comoros,COM,2023,66.7768
Congo,COG,2023,65.772
Cook Islands,COK,2023,75.2818
Costa Rica,CRI,2023,80.7995
Cote d'Ivoire,CIV,2023,61.9438
Croatia,HRV,2023,78.5803
Cuba,CUB,2023,78.0855
Curacao,CUW,2023,76.7996
Cyprus,CYP,2023,81.648
Czechia,CZE,2023,79.8341
Democratic Republic of Congo,COD,2023,61.895
Denmark,DNK,2023,81.9328
Djibouti,DJI,2023,65.9865
Dominica,DMA,2023,71.1325
Dominican Republic,DOM,2023,73.7201
East Timor,TLS,2023,67.6894
Ecuador,ECU,2023,77.3924
Egypt,EGY,2023,71.6335
El Salvador,SLV,2023,72.0993
