Country,LifeExpectancy,ln(GDP),PM2.5,WaterAccess,War Dummy,ChildMortality
Afghanistan,61.4537,7.859011916,46.08709367,28.4,1,6.13
Albania,77.8241,9.582734893,15.70700364,70.67,0,0.94
Algeria,73.2568,9.451854467,25.55265583,72.25,1,2.29
Andorra,79.4177,10.85266763,9.080280591,90.64,0,0.29
Armenia,68.8898,9.595745484,30.57963348,82.69,1,1.16
Austria,81.8037,10.97895596,10.93351368,98.9,1,0.34
Azerbaijan,70.3116,9.638523527,21.72699998,70.67,1,2.13
Bahrain,78.6833,10.88624055,58.49506298,98.9,0,0.8
Bangladesh,71.4211,8.810675609,42.38137624,58.66,1,3.15
Belarus,72.269,10.12151029,14.60899038,92.94,0,0.29
Belgium,80.7977,10.93664898,11.21606647,99.72,0,0.39
Bhutan,72.2531,9.460045384,23.94565764,69.14,0,2.55
Brazil,74.5058,9.684262377,12.1793252,85.92,1,1.49
Bulgaria,73.5992,10.16310208,17.14742361,95.97,0,0.65
Cambodia,70.0594,8.713311303,24.14360228,27.9,0,2.56
Canada,81.6536,10.79199903,6.565669944,99.04,0,0.51
Chad,53.0818,7.727729365,49.13884841,6.16,1,11.1
Chile,79.3488,10.13605151,23.2750668,98.77,0,0.68
Colombia,74.7565,9.654235239,14.18325149,73.41,1,1.32
Costa Rica,79.7252,9.984810271,14.30757125,80.52,0,0.94
Denmark,81.5458,11.04731615,9.069839273,99.92,0,0.37
Dominican Republic,72.6358,9.904296325,19.82674404,44.78,0,3.38
Ecuador,72.0036,9.353548457,16.65702108,66.83,0,1.36
Estonia,78.8929,10.61329724,6.14573291,97,0,0.24
Ethiopia,65.9688,7.962196917,27.30532765,12.34,1,5.2
Fiji,66.924,9.294997923,12.41879817,41.61,0,2.72
Finland,81.8219,10.88439637,4.895180902,99.64,0,0.23
France,82.1993,10.8117194,9.600381448,99.51,0,0.42
Gambia,64.4183,7.875345785,58.36404022,46.5,0,4.89
Georgia,73.5094,9.730168036,17.04384211,68.62,0,0.96
Germany,81.0036,10.99279536,10.28768943,99.91,0,0.37
Ghana,64.3089,8.707367501,54.24278731,42.34,0,4.2
Greece,81.5361,10.29140279,14.40892804,98.93,0,0.4
Guatemala,69.9707,9.300854615,21.63573559,55.77,0,2.37
Guinea-Bissau,61.343,7.746799025,50.21276551,23.52,0,7.66
Honduras,70.864,8.609027154,20.31368339,64.39,0,1.72
Hungary,75.7302,10.47772022,14.13649958,99.11,0,0.4
Iceland,82.7113,10.98249058,5.105548275,100,0,0.27
Indonesia,68.8173,9.386771783,17.8814995,29.71,1,2.28
Iran,74.1406,9.666647823,32.28737336,93.95,1,1.3
Iraq,69.6506,9.322053557,38.17506998,59.66,1,2.49
Ireland,82.3897,11.48679383,8.170586013,95.85,0,0.35
Israel,82.6997,10.62066098,18.59827563,99.5,0,0.35
Italy,82.1814,10.69839455,14.65863862,92.97,0,0.3
Japan,84.6703,10.65877996,12.83520166,98.61,0,0.24
Jordan,75.5831,9.161522747,28.77376392,85.72,0,1.44
Kazakhstan,71.1952,10.31446298,20.02787243,89.33,0,1.01
Kiribati,65.2046,7.856694404,11.25682725,13.98,0,5.86
Kuwait,78.2483,10.64723652,53.71514344,100,0,0.89
Latvia,75.4781,10.39260114,11.6020322,96.54,0,0.37
